t, , t, , t, , t, , t, , t, , 
0.000000, 1.344014e+01,0.000000, 9.810005e+00,0.000000, 5.735729e+00,0.000000, 7.533455e+00,0.000000, 2.368863e+01,0.000000, 1.966443e+01,
0.010000, 1.353383e+01,0.010000, 1.005236e+01,0.010000, 5.631268e+00,0.010000, 7.719508e+00,0.010000, 2.395306e+01,0.010000, 1.974855e+01,
0.020000, 1.362752e+01,0.020000, 1.029472e+01,0.020000, 5.526807e+00,0.020000, 7.905561e+00,0.020000, 2.421749e+01,0.020000, 1.983268e+01,
0.030000, 1.363487e+01,0.030000, 1.057228e+01,0.030000, 5.715043e+00,0.030000, 8.121741e+00,0.030000, 2.423426e+01,0.030000, 2.021808e+01,
0.040000, 1.357251e+01,0.040000, 1.087826e+01,0.040000, 6.139593e+00,0.040000, 8.362245e+00,0.040000, 2.405109e+01,0.040000, 2.084672e+01,
0.050000, 1.351015e+01,0.050000, 1.118424e+01,0.050000, 6.564143e+00,0.050000, 8.602749e+00,0.050000, 2.386792e+01,0.050000, 2.147536e+01,
0.060000, 1.344780e+01,0.060000, 1.149022e+01,0.060000, 6.988692e+00,0.060000, 8.843253e+00,0.060000, 2.368475e+01,0.060000, 2.210400e+01,
0.070000, 1.338544e+01,0.070000, 1.179619e+01,0.070000, 7.413242e+00,0.070000, 9.083757e+00,0.070000, 2.350157e+01,0.070000, 2.273264e+01,
0.080000, 1.373780e+01,0.080000, 1.195165e+01,0.080000, 7.590296e+00,0.080000, 9.325287e+00,0.080000, 2.466639e+01,0.080000, 2.315977e+01,
0.090000, 1.442499e+01,0.090000, 1.198557e+01,0.090000, 7.567530e+00,0.090000, 9.567646e+00,0.090000, 2.691952e+01,0.090000, 2.342420e+01,
0.100000, 1.511218e+01,0.100000, 1.201950e+01,0.100000, 7.544764e+00,0.100000, 9.810005e+00,0.100000, 2.917266e+01,0.100000, 2.368863e+01,
0.110000, 1.579937e+01,0.110000, 1.205342e+01,0.110000, 7.521999e+00,0.110000, 1.005236e+01,0.110000, 3.142579e+01,0.110000, 2.395306e+01,
0.120000, 1.648655e+01,0.120000, 1.208735e+01,0.120000, 7.499233e+00,0.120000, 1.029472e+01,0.120000, 3.367892e+01,0.120000, 2.421749e+01,
0.130000, 1.691828e+01,0.130000, 1.222405e+01,0.130000, 7.441407e+00,0.130000, 1.057228e+01,0.130000, 3.507695e+01,0.130000, 2.423426e+01,
0.140000, 1.714375e+01,0.140000, 1.244373e+01,0.140000, 7.355276e+00,0.140000, 1.087826e+01,0.140000, 3.578458e+01,0.140000, 2.405109e+01,
0.150000, 1.736923e+01,0.150000, 1.266342e+01,0.150000, 7.269145e+00,0.150000, 1.118424e+01,0.150000, 3.649222e+01,0.150000, 2.386792e+01,
0.160000, 1.759470e+01,0.160000, 1.288310e+01,0.160000, 7.183014e+00,0.160000, 1.149022e+01,0.160000, 3.719986e+01,0.160000, 2.368475e+01,
0.170000, 1.782017e+01,0.170000, 1.310278e+01,0.170000, 7.096883e+00,0.170000, 1.179619e+01,0.170000, 3.790749e+01,0.170000, 2.350157e+01,
