t, , t, , t, , t, , t, , t, , 
0.000000, 1.574084e+01,0.000000, 1.724174e+01,0.000000, 1.384250e+01,0.000000, 1.641461e+01,0.000000, 3.079360e+01,0.000000, 2.325164e+01,
0.010000, 1.587658e+01,0.010000, 1.701386e+01,0.010000, 1.418112e+01,0.010000, 1.629242e+01,0.010000, 3.124292e+01,0.010000, 2.500609e+01,
0.020000, 1.601232e+01,0.020000, 1.631462e+01,0.020000, 1.451974e+01,0.020000, 1.600874e+01,0.020000, 3.169223e+01,0.020000, 2.676053e+01,
0.030000, 1.609674e+01,0.030000, 1.561538e+01,0.030000, 1.485836e+01,0.030000, 1.572506e+01,0.030000, 3.197897e+01,0.030000, 2.851498e+01,
0.040000, 1.611076e+01,0.040000, 1.502545e+01,0.040000, 1.519698e+01,0.040000, 1.544138e+01,0.040000, 3.204265e+01,0.040000, 2.953634e+01,
0.050000, 1.612478e+01,0.050000, 1.461045e+01,0.050000, 1.548312e+01,0.050000, 1.565739e+01,0.050000, 3.210633e+01,0.050000, 3.047904e+01,
0.060000, 1.598730e+01,0.060000, 1.419545e+01,0.060000, 1.575536e+01,0.060000, 1.595069e+01,0.060000, 3.168398e+01,0.060000, 3.142174e+01,
0.070000, 1.542110e+01,0.070000, 1.383010e+01,0.070000, 1.597512e+01,0.070000, 1.624398e+01,0.070000, 2.988626e+01,0.070000, 3.139834e+01,
0.080000, 1.485490e+01,0.080000, 1.363670e+01,0.080000, 1.619488e+01,0.080000, 1.656802e+01,0.080000, 2.808854e+01,0.080000, 3.104006e+01,
0.090000, 1.436373e+01,0.090000, 1.344330e+01,0.090000, 1.635547e+01,0.090000, 1.690488e+01,0.090000, 2.652920e+01,0.090000, 3.068178e+01,
0.100000, 1.454323e+01,0.100000, 1.329802e+01,0.100000, 1.648673e+01,0.100000, 1.724174e+01,0.100000, 2.710064e+01,0.100000, 3.079360e+01,
0.110000, 1.472273e+01,0.110000, 1.386144e+01,0.110000, 1.661799e+01,0.110000, 1.701386e+01,0.110000, 2.767209e+01,0.110000, 3.124292e+01,
0.120000, 1.490224e+01,0.120000, 1.442486e+01,0.120000, 1.669896e+01,0.120000, 1.631462e+01,0.120000, 2.824354e+01,0.120000, 3.169223e+01,
0.130000, 1.539205e+01,0.130000, 1.498829e+01,0.130000, 1.673124e+01,0.130000, 1.561538e+01,0.130000, 2.979913e+01,0.130000, 3.197897e+01,
0.140000, 1.590164e+01,0.140000, 1.531845e+01,0.140000, 1.676352e+01,0.140000, 1.502545e+01,0.140000, 3.141741e+01,0.140000, 3.204265e+01,
0.150000, 1.641122e+01,0.150000, 1.562359e+01,0.150000, 1.677222e+01,0.150000, 1.461045e+01,0.150000, 3.303569e+01,0.150000, 3.210633e+01,
0.160000, 1.620976e+01,0.160000, 1.592872e+01,0.160000, 1.673667e+01,0.160000, 1.419545e+01,0.160000, 3.237556e+01,0.160000, 3.168398e+01,
0.170000, 1.580732e+01,0.170000, 1.592610e+01,0.170000, 1.670111e+01,0.170000, 1.383010e+01,0.170000, 3.107142e+01,0.170000, 2.988626e+01,
0.180000, 1.540488e+01,0.180000, 1.581680e+01,0.180000, 1.665017e+01,0.180000, 1.363670e+01,0.180000, 2.976728e+01,0.180000, 2.808854e+01,
0.190000, 1.482616e+01,0.190000, 1.570750e+01,0.190000, 1.653239e+01,0.190000, 1.344330e+01,0.190000, 2.804202e+01,0.190000, 2.652920e+01,
0.200000, 1.413899e+01,0.200000, 1.574084e+01,0.200000, 1.641461e+01,0.200000, 1.329802e+01,0.200000, 2.605770e+01,0.200000, 2.710064e+01,
0.210000, 1.345183e+01,0.210000, 1.587658e+01,0.210000, 1.629242e+01,0.210000, 1.386144e+01,0.210000, 2.407338e+01,0.210000, 2.767209e+01,
0.220000, 1.262749e+01,0.220000, 1.601232e+01,0.220000, 1.600874e+01,0.220000, 1.442486e+01,0.220000, 2.176136e+01,0.220000, 2.824354e+01,
0.230000, 1.164124e+01,0.230000, 1.609674e+01,0.230000, 1.572506e+01,0.230000, 1.498829e+01,0.230000, 1.906254e+01,0.230000, 2.979913e+01,
0.240000, 1.065498e+01,0.240000, 1.611076e+01,0.240000, 1.544138e+01,0.240000, 1.531845e+01,0.240000, 1.636372e+01,0.240000, 3.141741e+01,
0.250000, 9.955312e+00,0.250000, 1.612478e+01,0.250000, 1.565739e+01,0.250000, 1.562359e+01,0.250000, 1.444200e+01,0.250000, 3.303569e+01,
0.260000, 9.930265e+00,0.260000, 1.598730e+01,0.260000, 1.595069e+01,0.260000, 1.592872e+01,0.260000, 1.434961e+01,0.260000, 3.237556e+01,
0.270000, 9.905217e+00,0.270000, 1.542110e+01,0.270000, 1.624398e+01,0.270000, 1.592610e+01,0.270000, 1.425722e+01,0.270000, 3.107142e+01,
0.280000, 9.883926e+00,0.280000, 1.485490e+01,0.280000, 1.656802e+01,0.280000, 1.581680e+01,0.280000, 1.417848e+01,0.280000, 2.976728e+01,
0.290000, 9.886168e+00,0.290000, 1.436373e+01,0.290000, 1.690488e+01,0.290000, 1.570750e+01,0.290000, 1.418530e+01,0.290000, 2.804202e+01,
0.300000, 9.888410e+00,0.300000, 1.454323e+01,0.300000, 1.724174e+01,0.300000, 1.574084e+01,0.300000, 1.419212e+01,0.300000, 2.605770e+01,
0.310000, 9.890652e+00,0.310000, 1.472273e+01,0.310000, 1.701386e+01,0.310000, 1.587658e+01,0.310000, 1.419894e+01,0.310000, 2.407338e+01,
0.320000, 9.744156e+00,0.320000, 1.490224e+01,0.320000, 1.631462e+01,0.320000, 1.601232e+01,0.320000, 1.385392e+01,0.320000, 2.176136e+01,
0.330000, 9.594184e+00,0.330000, 1.539205e+01,0.330000, 1.561538e+01,0.330000, 1.609674e+01,0.330000, 1.350068e+01,0.330000, 1.906254e+01,
0.340000, 9.444212e+00,0.340000, 1.590164e+01,0.340000, 1.502545e+01,0.340000, 1.611076e+01,0.340000, 1.314744e+01,0.340000, 1.636372e+01,
0.350000, 9.182577e+00,0.350000, 1.641122e+01,0.350000, 1.461045e+01,0.350000, 1.612478e+01,0.350000, 1.257201e+01,0.350000, 1.444200e+01,
0.360000, 8.895874e+00,0.360000, 1.620976e+01,0.360000, 1.419545e+01,0.360000, 1.598730e+01,0.360000, 1.194669e+01,0.360000, 1.434961e+01,
0.370000, 8.609172e+00,0.370000, 1.580732e+01,0.370000, 1.383010e+01,0.370000, 1.542110e+01,0.370000, 1.132138e+01,0.370000, 1.425722e+01,
0.380000, 8.297882e+00,0.380000, 1.540488e+01,0.380000, 1.363670e+01,0.380000, 1.485490e+01,0.380000, 1.065575e+01,0.380000, 1.417848e+01,
0.390000, 7.973708e+00,0.390000, 1.482616e+01,0.390000, 1.344330e+01,0.390000, 1.436373e+01,0.390000, 9.968987e+00,0.390000, 1.418530e+01,
0.400000, 7.649535e+00,0.400000, 1.413899e+01,0.400000, 1.329802e+01,0.400000, 1.454323e+01,0.400000, 9.282226e+00,0.400000, 1.419212e+01,
0.410000, 7.351914e+00,0.410000, 1.345183e+01,0.410000, 1.386144e+01,0.410000, 1.472273e+01,0.410000, 8.682532e+00,0.410000, 1.419894e+01,
0.420000, 7.081308e+00,0.420000, 1.262749e+01,0.420000, 1.442486e+01,0.420000, 1.490224e+01,0.420000, 8.171424e+00,0.420000, 1.385392e+01,
0.430000, 6.810702e+00,0.430000, 1.164124e+01,0.430000, 1.498829e+01,0.430000, 1.539205e+01,0.430000, 7.660316e+00,0.430000, 1.350068e+01,
0.440000, 6.625805e+00,0.440000, 1.065498e+01,0.440000, 1.531845e+01,0.440000, 1.590164e+01,0.440000, 7.309608e+00,0.440000, 1.314744e+01,
0.450000, 6.610907e+00,0.450000, 9.955312e+00,0.450000, 1.562359e+01,0.450000, 1.641122e+01,0.450000, 7.277041e+00,0.450000, 1.257201e+01,
0.460000, 6.596009e+00,0.460000, 9.930265e+00,0.460000, 1.592872e+01,0.460000, 1.620976e+01,0.460000, 7.244473e+00,0.460000, 1.194669e+01,
0.470000, 6.613786e+00,0.470000, 9.905217e+00,0.470000, 1.592610e+01,0.470000, 1.580732e+01,0.470000, 7.273056e+00,0.470000, 1.132138e+01,
0.480000, 6.785934e+00,0.480000, 9.883926e+00,0.480000, 1.581680e+01,0.480000, 1.540488e+01,0.480000, 7.590534e+00,0.480000, 1.065575e+01,
0.490000, 6.958082e+00,0.490000, 9.886168e+00,0.490000, 1.570750e+01,0.490000, 1.482616e+01,0.490000, 7.908012e+00,0.490000, 9.968987e+00,
0.500000, 7.133468e+00,0.500000, 9.888410e+00,0.500000, 1.574084e+01,0.500000, 1.413899e+01,0.500000, 8.232901e+00,0.500000, 9.282226e+00,
0.510000, 7.533709e+00,0.510000, 9.890652e+00,0.510000, 1.587658e+01,0.510000, 1.345183e+01,0.510000, 9.072347e+00,0.510000, 8.682532e+00,
0.520000, 7.933950e+00,0.520000, 9.744156e+00,0.520000, 1.601232e+01,0.520000, 1.262749e+01,0.520000, 9.911794e+00,0.520000, 8.171424e+00,
0.530000, 8.334191e+00,0.530000, 9.594184e+00,0.530000, 1.609674e+01,0.530000, 1.164124e+01,0.530000, 1.075124e+01,0.530000, 7.660316e+00,
0.540000, 8.612811e+00,0.540000, 9.444212e+00,0.540000, 1.611076e+01,0.540000, 1.065498e+01,0.540000, 1.133941e+01,0.540000, 7.309608e+00,
0.550000, 8.870590e+00,0.550000, 9.182577e+00,0.550000, 1.612478e+01,0.550000, 9.955312e+00,0.550000, 1.188452e+01,0.550000, 7.277041e+00,
0.560000, 9.128368e+00,0.560000, 8.895874e+00,0.560000, 1.598730e+01,0.560000, 9.930265e+00,0.560000, 1.242962e+01,0.560000, 7.244473e+00,
0.570000, 9.245048e+00,0.570000, 8.609172e+00,0.570000, 1.542110e+01,0.570000, 9.905217e+00,0.570000, 1.268298e+01,0.570000, 7.273056e+00,
0.580000, 9.299282e+00,0.580000, 8.297882e+00,0.580000, 1.485490e+01,0.580000, 9.883926e+00,0.580000, 1.280722e+01,0.580000, 7.590534e+00,
0.590000, 9.353516e+00,0.590000, 7.973708e+00,0.590000, 1.436373e+01,0.590000, 9.886168e+00,0.590000, 1.293146e+01,0.590000, 7.908012e+00,
0.600000, 9.087106e+00,0.600000, 7.649535e+00,0.600000, 1.454323e+01,0.600000, 9.888410e+00,0.600000, 1.239968e+01,0.600000, 8.232901e+00,
0.610000, 8.539435e+00,0.610000, 7.351914e+00,0.610000, 1.472273e+01,0.610000, 9.890652e+00,0.610000, 1.129245e+01,0.610000, 9.072347e+00,
0.620000, 7.991764e+00,0.620000, 7.081308e+00,0.620000, 1.490224e+01,0.620000, 9.744156e+00,0.620000, 1.018523e+01,0.620000, 9.911794e+00,
0.630000, 7.484473e+00,0.630000, 6.810702e+00,0.630000, 1.539205e+01,0.630000, 9.594184e+00,0.630000, 9.154592e+00,0.630000, 1.075124e+01,
0.640000, 7.045284e+00,0.640000, 6.625805e+00,0.640000, 1.590164e+01,0.640000, 9.444212e+00,0.640000, 8.253128e+00,0.640000, 1.133941e+01,
0.650000, 6.606095e+00,0.650000, 6.610907e+00,0.650000, 1.641122e+01,0.650000, 9.182577e+00,0.650000, 7.351664e+00,0.650000, 1.188452e+01,
0.660000, 6.313778e+00,0.660000, 6.596009e+00,0.660000, 1.620976e+01,0.660000, 8.895874e+00,0.660000, 6.740376e+00,0.660000, 1.242962e+01,
0.670000, 6.568266e+00,0.670000, 6.613786e+00,0.670000, 1.580732e+01,0.670000, 8.609172e+00,0.670000, 7.209422e+00,0.670000, 1.268298e+01,
0.680000, 6.822754e+00,0.680000, 6.785934e+00,0.680000, 1.540488e+01,0.680000, 8.297882e+00,0.680000, 7.678468e+00,0.680000, 1.280722e+01,
0.690000, 7.070497e+00,0.690000, 6.958082e+00,0.690000, 1.482616e+01,0.690000, 7.973708e+00,0.690000, 8.135358e+00,0.690000, 1.293146e+01,
0.700000, 7.193332e+00,0.700000, 7.133468e+00,0.700000, 1.413899e+01,0.700000, 7.649535e+00,0.700000, 8.367139e+00,0.700000, 1.239968e+01,
0.710000, 7.316166e+00,0.710000, 7.533709e+00,0.710000, 1.345183e+01,0.710000, 7.351914e+00,0.710000, 8.598919e+00,0.710000, 1.129245e+01,
0.720000, 7.439001e+00,0.720000, 7.933950e+00,0.720000, 1.262749e+01,0.720000, 7.081308e+00,0.720000, 8.830700e+00,0.720000, 1.018523e+01,
0.730000, 7.519999e+00,0.730000, 8.334191e+00,0.730000, 1.164124e+01,0.730000, 6.810702e+00,0.730000, 8.993125e+00,0.730000, 9.154592e+00,
0.740000, 7.595865e+00,0.740000, 8.612811e+00,0.740000, 1.065498e+01,0.740000, 6.625805e+00,0.740000, 9.147042e+00,0.740000, 8.253128e+00,
0.750000, 7.671731e+00,0.750000, 8.870590e+00,0.750000, 9.955312e+00,0.750000, 6.610907e+00,0.750000, 9.300959e+00,0.750000, 7.351664e+00,
0.760000, 7.893514e+00,0.760000, 9.128368e+00,0.760000, 9.930265e+00,0.760000, 6.596009e+00,0.760000, 9.770928e+00,0.760000, 6.740376e+00,
0.770000, 8.169198e+00,0.770000, 9.245048e+00,0.770000, 9.905217e+00,0.770000, 6.613786e+00,0.770000, 1.035765e+01,0.770000, 7.209422e+00,
0.780000, 8.444882e+00,0.780000, 9.299282e+00,0.780000, 9.883926e+00,0.780000, 6.785934e+00,0.780000, 1.094436e+01,0.780000, 7.678468e+00,
0.790000, 8.559925e+00,0.790000, 9.353516e+00,0.790000, 9.886168e+00,0.790000, 6.958082e+00,0.790000, 1.118951e+01,0.790000, 8.135358e+00,
0.800000, 8.553661e+00,0.800000, 9.087106e+00,0.800000, 9.888410e+00,0.800000, 7.133468e+00,0.800000, 1.117673e+01,0.800000, 8.367139e+00,
0.810000, 8.547397e+00,0.810000, 8.539435e+00,0.810000, 9.890652e+00,0.810000, 7.533709e+00,0.810000, 1.116394e+01,0.810000, 8.598919e+00,
0.820000, 8.427266e+00,0.820000, 7.991764e+00,0.820000, 9.744156e+00,0.820000, 7.933950e+00,0.820000, 1.090904e+01,0.820000, 8.830700e+00,
0.830000, 8.142774e+00,0.830000, 7.484473e+00,0.830000, 9.594184e+00,0.830000, 8.334191e+00,0.830000, 1.030465e+01,0.830000, 8.993125e+00,
0.840000, 7.858282e+00,0.840000, 7.045284e+00,0.840000, 9.444212e+00,0.840000, 8.612811e+00,0.840000, 9.700272e+00,0.840000, 9.147042e+00,
0.850000, 7.695647e+00,0.850000, 6.606095e+00,0.850000, 9.182577e+00,0.850000, 8.870590e+00,0.850000, 9.353871e+00,0.850000, 9.300959e+00,
0.860000, 7.901000e+00,0.860000, 6.313778e+00,0.860000, 8.895874e+00,0.860000, 9.128368e+00,0.860000, 9.786532e+00,0.860000, 9.770928e+00,
0.870000, 8.106354e+00,0.870000, 6.568266e+00,0.870000, 8.609172e+00,0.870000, 9.245048e+00,0.870000, 1.021919e+01,0.870000, 1.035765e+01,
0.880000, 8.301138e+00,0.880000, 6.822754e+00,0.880000, 8.297882e+00,0.880000, 9.299282e+00,0.880000, 1.062954e+01,0.880000, 1.094436e+01,
0.890000, 8.386750e+00,0.890000, 7.070497e+00,0.890000, 7.973708e+00,0.890000, 9.353516e+00,0.890000, 1.080946e+01,0.890000, 1.118951e+01,
0.900000, 8.472362e+00,0.900000, 7.193332e+00,0.900000, 7.649535e+00,0.900000, 9.087106e+00,0.900000, 1.098938e+01,0.900000, 1.117673e+01,
0.910000, 8.557974e+00,0.910000, 7.316166e+00,0.910000, 7.351914e+00,0.910000, 8.539435e+00,0.910000, 1.116929e+01,0.910000, 1.116394e+01,
0.920000, 8.351598e+00,0.920000, 7.439001e+00,0.920000, 7.081308e+00,0.920000, 7.991764e+00,0.920000, 1.073241e+01,0.920000, 1.090904e+01,
0.930000, 8.122492e+00,0.930000, 7.519999e+00,0.930000, 6.810702e+00,0.930000, 7.484473e+00,0.930000, 1.024752e+01,0.930000, 1.030465e+01,
0.940000, 7.893386e+00,0.940000, 7.595865e+00,0.940000, 6.625805e+00,0.940000, 7.045284e+00,0.940000, 9.762624e+00,0.940000, 9.700272e+00,
