t, Data (0), t, Data (1), t, Data (2), t, Data (3), t, Data (4), t, Data (5), t, Data (6), t, Data (7), t, Data (8), t, Data (9), t, Data (10), t, Data (11), t, Data (12), t, Data (13), t, Data (14), t, Data (15), t, Data (16), t, Data (17), t, Data (18), t, Data (19), t, Data (20), t, Data (21), t, Data (22), t, Data (23), t, Data (24), t, Data (25), t, Data (26), t, Data (27), t, Data (28), t, Data (29), t, Data (30), t, Data (31), t, Data (32), t, Data (33), t, Data (34), t, Data (35), t, Data (36), t, Data (37), t, Data (38), t, Data (39), t, Data (40), t, Data (41), t, Data (42), t, Data (43), t, Data (44), t, Data (45), t, Data (46), t, Data (47), t, Data (48), t, Data (49), t, Data (50), t, Data (51), t, Data (52), t, Data (53), t, Data (54), t, Data (55), t, Data (56), t, Data (57), t, Data (58), t, Data (59), t, Data (60), t, Data (61), t, Data (62), t, Data (63), t, Data (64), t, Data (65), t, Data (66), t, Data (67), t, Data (68), t, Data (69), t, Data (70), t, Data (71), 
2.000000, 6.724634e-01,2.000000, 1.165341e+01,2.000000, 0.000000e+00,2.000000, 0.000000e+00,2.000000, 0.000000e+00,2.000000, 1.344927e+01,2.000000, 1.363119e+01,2.000000, 0.000000e+00,2.000000, 0.000000e+00,2.000000, 2.726239e+02,2.000000, 6.924121e-01,2.000000, 0.000000e+00,2.000000, 0.000000e+00,2.000000, 0.000000e+00,2.000000, 0.000000e+00,2.000000, 1.384825e+01,2.000000, 2.000000e+01,2.000000, 0.000000e+00,2.000000, 8.472721e-05,2.000000, 0.000000e+00,2.000000, 0.000000e+00,2.000000, 0.000000e+00,2.000000, 0.000000e+00,2.000000, 8.474235e+00,2.000000, 3.250157e-07,2.000000, 0.000000e+00,2.000000, 0.000000e+00,2.000000, 3.250738e-02,2.000000, 2.678144e-04,2.000000, 0.000000e+00,2.000000, 0.000000e+00,2.000000, 0.000000e+00,2.000000, 0.000000e+00,2.000000, 2.678622e+01,2.000000, 1.000179e+05,2.000000, 0.000000e+00,2.000000, 0.000000e+00,2.000000, 0.000000e+00,2.000000, 0.000000e+00,2.000000, 0.000000e+00,2.000000, 0.000000e+00,2.000000, 0.000000e+00,2.000000, 0.000000e+00,2.000000, 0.000000e+00,2.000000, 0.000000e+00,2.000000, 0.000000e+00,2.000000, 1.402986e+01,2.000000, 0.000000e+00,2.000000, 0.000000e+00,2.000000, 1.866814e+01,2.000000, 1.627961e+02,2.000000, 1.403003e+00,2.000000, 9.999122e-02,2.000000, 8.720530e+00,2.000000, 0.000000e+00,2.000000, 0.000000e+00,2.000000, 0.000000e+00,2.000000, 1.223478e+02,2.000000, 0.000000e+00,2.000000, 1.223478e+02,2.000000, 8.720534e+00,2.000000, 5.864240e+00,2.000000, 0.000000e+00,2.000000, 5.864240e+00,2.000000, 6.038204e+00,2.000000, 0.000000e+00,2.000000, 6.038204e+00,2.000000, 8.720534e+00,2.000000, 0.000000e+00,2.000000, 1.000000e+01,2.000000, 0.000000e+00,2.000000, 5.000000e-01,
2.100000, 7.047332e-01,2.100000, 1.302030e+01,2.100000, 0.000000e+00,2.100000, 0.000000e+00,2.100000, 0.000000e+00,2.100000, 1.409467e+01,2.100000, 1.412937e+01,2.100000, 0.000000e+00,2.100000, 0.000000e+00,2.100000, 2.825874e+02,2.100000, 9.114840e-01,2.100000, 0.000000e+00,2.100000, 0.000000e+00,2.100000, 0.000000e+00,2.100000, 0.000000e+00,2.100000, 1.822969e+01,2.100000, 2.000000e+01,2.100000, 0.000000e+00,2.100000, 9.079385e-05,2.100000, 0.000000e+00,2.100000, 0.000000e+00,2.100000, 0.000000e+00,2.100000, 0.000000e+00,2.100000, 9.081086e+00,2.100000, 3.737736e-07,2.100000, 0.000000e+00,2.100000, 0.000000e+00,2.100000, 3.738436e-02,2.100000, 2.752226e-04,2.100000, 0.000000e+00,2.100000, 0.000000e+00,2.100000, 0.000000e+00,2.100000, 0.000000e+00,2.100000, 2.752742e+01,2.100000, 1.000187e+05,2.100000, 0.000000e+00,2.100000, 0.000000e+00,2.100000, 0.000000e+00,2.100000, 0.000000e+00,2.100000, 0.000000e+00,2.100000, 0.000000e+00,2.100000, 0.000000e+00,2.100000, 0.000000e+00,2.100000, 0.000000e+00,2.100000, 0.000000e+00,2.100000, 0.000000e+00,2.100000, 1.824142e+01,2.100000, 0.000000e+00,2.100000, 0.000000e+00,2.100000, 2.248450e+01,2.100000, 1.960767e+02,2.100000, 1.824156e+00,2.100000, 9.999079e-02,2.100000, 8.720530e+00,2.100000, 0.000000e+00,2.100000, 0.000000e+00,2.100000, 0.000000e+00,2.100000, 1.590749e+02,2.100000, 0.000000e+00,2.100000, 1.590749e+02,2.100000, 8.720534e+00,2.100000, 6.145650e+00,2.100000, 0.000000e+00,2.100000, 6.145650e+00,2.100000, 7.948628e+00,2.100000, 0.000000e+00,2.100000, 7.948628e+00,2.100000, 8.720534e+00,2.100000, 0.000000e+00,2.100000, 1.000000e+01,2.100000, 0.000000e+00,2.100000, 5.000000e-01,
2.200000, 7.363089e-01,2.200000, 1.213990e+01,2.200000, 0.000000e+00,2.200000, 0.000000e+00,2.200000, 0.000000e+00,2.200000, 1.472619e+01,2.200000, 1.476519e+01,2.200000, 0.000000e+00,2.200000, 0.000000e+00,2.200000, 2.953037e+02,2.200000, 1.130158e+00,2.200000, 0.000000e+00,2.200000, 0.000000e+00,2.200000, 0.000000e+00,2.200000, 0.000000e+00,2.200000, 2.260318e+01,2.200000, 2.000000e+01,2.200000, 0.000000e+00,2.200000, 9.714819e-05,2.200000, 0.000000e+00,2.200000, 0.000000e+00,2.200000, 0.000000e+00,2.200000, 0.000000e+00,2.200000, 9.716724e+00,2.200000, 4.276486e-07,2.200000, 0.000000e+00,2.200000, 0.000000e+00,2.200000, 4.277325e-02,2.200000, 2.845081e-04,2.200000, 0.000000e+00,2.200000, 0.000000e+00,2.200000, 0.000000e+00,2.200000, 0.000000e+00,2.200000, 2.845639e+01,2.200000, 1.000196e+05,2.200000, 0.000000e+00,2.200000, 0.000000e+00,2.200000, 0.000000e+00,2.200000, 0.000000e+00,2.200000, 0.000000e+00,2.200000, 0.000000e+00,2.200000, 0.000000e+00,2.200000, 0.000000e+00,2.200000, 0.000000e+00,2.200000, 0.000000e+00,2.200000, 0.000000e+00,2.200000, 2.191573e+01,2.200000, 0.000000e+00,2.200000, 0.000000e+00,2.200000, 2.002454e+01,2.200000, 1.746246e+02,2.200000, 2.191580e+00,2.200000, 9.999037e-02,2.200000, 8.720530e+00,2.200000, 0.000000e+00,2.200000, 0.000000e+00,2.200000, 0.000000e+00,2.200000, 1.911168e+02,2.200000, 0.000000e+00,2.200000, 1.911168e+02,2.200000, 8.720534e+00,2.200000, 6.421007e+00,2.200000, 0.000000e+00,2.200000, 6.421007e+00,2.200000, 9.855584e+00,2.200000, 0.000000e+00,2.200000, 9.855584e+00,2.200000, 8.720534e+00,2.200000, 0.000000e+00,2.200000, 1.000000e+01,2.200000, 0.000000e+00,2.200000, 5.000000e-01,
2.300000, 7.581007e-01,2.300000, 1.029091e+01,2.300000, 0.000000e+00,2.300000, 0.000000e+00,2.300000, 0.000000e+00,2.300000, 1.516202e+01,2.300000, 1.551645e+01,2.300000, 0.000000e+00,2.300000, 0.000000e+00,2.300000, 3.103289e+02,2.300000, 1.269600e+00,2.300000, 0.000000e+00,2.300000, 0.000000e+00,2.300000, 0.000000e+00,2.300000, 0.000000e+00,2.300000, 2.539202e+01,2.300000, 2.000000e+01,2.300000, 0.000000e+00,2.300000, 1.037120e-04,2.300000, 0.000000e+00,2.300000, 0.000000e+00,2.300000, 0.000000e+00,2.300000, 0.000000e+00,2.300000, 1.037333e+01,2.300000, 4.873178e-07,2.300000, 0.000000e+00,2.300000, 0.000000e+00,2.300000, 4.874176e-02,2.300000, 2.953422e-04,2.300000, 0.000000e+00,2.300000, 0.000000e+00,2.300000, 0.000000e+00,2.300000, 0.000000e+00,2.300000, 2.954027e+01,2.300000, 1.000205e+05,2.300000, 0.000000e+00,2.300000, 0.000000e+00,2.300000, 0.000000e+00,2.300000, 0.000000e+00,2.300000, 0.000000e+00,2.300000, 0.000000e+00,2.300000, 0.000000e+00,2.300000, 0.000000e+00,2.300000, 0.000000e+00,2.300000, 0.000000e+00,2.300000, 0.000000e+00,2.300000, 2.054897e+01,2.300000, 0.000000e+00,2.300000, 0.000000e+00,2.300000, 1.533640e+01,2.300000, 1.337415e+02,2.300000, 2.054896e+00,2.300000, 9.998994e-02,2.300000, 8.720530e+00,2.300000, 0.000000e+00,2.300000, 0.000000e+00,2.300000, 0.000000e+00,2.300000, 1.791980e+02,2.300000, 0.000000e+00,2.300000, 1.791980e+02,2.300000, 8.720534e+00,2.300000, 6.611043e+00,2.300000, 0.000000e+00,2.300000, 6.611043e+00,2.300000, 1.107159e+01,2.300000, 0.000000e+00,2.300000, 1.107159e+01,2.300000, 8.720534e+00,2.300000, 0.000000e+00,2.300000, 1.000000e+01,2.300000, 0.000000e+00,2.300000, 5.000000e-01,
2.400000, 7.641871e-01,2.400000, 7.435222e+00,2.400000, 0.000000e+00,2.400000, 0.000000e+00,2.400000, 0.000000e+00,2.400000, 1.528375e+01,2.400000, 1.626849e+01,2.400000, 0.000000e+00,2.400000, 0.000000e+00,2.400000, 3.253699e+02,2.400000, 1.222124e+00,2.400000, 0.000000e+00,2.400000, 0.000000e+00,2.400000, 0.000000e+00,2.400000, 0.000000e+00,2.400000, 2.444250e+01,2.400000, 2.000000e+01,2.400000, 0.000000e+00,2.400000, 1.103593e-04,2.400000, 0.000000e+00,2.400000, 0.000000e+00,2.400000, 0.000000e+00,2.400000, 0.000000e+00,2.400000, 1.103829e+01,2.400000, 5.532119e-07,2.400000, 0.000000e+00,2.400000, 0.000000e+00,2.400000, 5.533300e-02,2.400000, 3.061262e-04,2.400000, 0.000000e+00,2.400000, 0.000000e+00,2.400000, 0.000000e+00,2.400000, 0.000000e+00,2.400000, 3.061916e+01,2.400000, 1.000213e+05,2.400000, 0.000000e+00,2.400000, 0.000000e+00,2.400000, 0.000000e+00,2.400000, 0.000000e+00,2.400000, 0.000000e+00,2.400000, 0.000000e+00,2.400000, 0.000000e+00,2.400000, 0.000000e+00,2.400000, 0.000000e+00,2.400000, 0.000000e+00,2.400000, 0.000000e+00,2.400000, 1.599128e+01,2.400000, 0.000000e+00,2.400000, 0.000000e+00,2.400000, 8.849097e+00,2.400000, 7.716881e+01,2.400000, 1.599121e+00,2.400000, 9.998951e-02,2.400000, 8.720530e+00,2.400000, 0.000000e+00,2.400000, 0.000000e+00,2.400000, 0.000000e+00,2.400000, 1.394525e+02,2.400000, 0.000000e+00,2.400000, 1.394525e+02,2.400000, 8.720534e+00,2.400000, 6.664120e+00,2.400000, 0.000000e+00,2.400000, 6.664120e+00,2.400000, 1.065758e+01,2.400000, 0.000000e+00,2.400000, 1.065758e+01,2.400000, 8.720534e+00,2.400000, 0.000000e+00,2.400000, 1.000000e+01,2.400000, 0.000000e+00,2.400000, 5.000000e-01,
2.500000, 7.676330e-01,2.500000, 7.770897e+00,2.500000, 0.000000e+00,2.500000, 0.000000e+00,2.500000, 0.000000e+00,2.500000, 1.535267e+01,2.500000, 1.690742e+01,2.500000, 0.000000e+00,2.500000, 0.000000e+00,2.500000, 3.381483e+02,2.500000, 9.971270e-01,2.500000, 0.000000e+00,2.500000, 0.000000e+00,2.500000, 0.000000e+00,2.500000, 0.000000e+00,2.500000, 1.994255e+01,2.500000, 2.000000e+01,2.500000, 0.000000e+00,2.500000, 1.170331e-04,2.500000, 0.000000e+00,2.500000, 0.000000e+00,2.500000, 0.000000e+00,2.500000, 0.000000e+00,2.500000, 1.170592e+01,2.500000, 6.253613e-07,2.500000, 0.000000e+00,2.500000, 0.000000e+00,2.500000, 6.255003e-02,2.500000, 3.152570e-04,2.500000, 0.000000e+00,2.500000, 0.000000e+00,2.500000, 0.000000e+00,2.500000, 0.000000e+00,2.500000, 3.153270e+01,2.500000, 1.000222e+05,2.500000, 0.000000e+00,2.500000, 0.000000e+00,2.500000, 0.000000e+00,2.500000, 0.000000e+00,2.500000, 0.000000e+00,2.500000, 0.000000e+00,2.500000, 0.000000e+00,2.500000, 0.000000e+00,2.500000, 0.000000e+00,2.500000, 0.000000e+00,2.500000, 0.000000e+00,2.500000, 9.386445e+00,2.500000, 0.000000e+00,2.500000, 0.000000e+00,2.500000, 9.561274e+00,2.500000, 8.337938e+01,2.500000, 9.386360e-01,2.500000, 9.998908e-02,2.500000, 8.720530e+00,2.500000, 0.000000e+00,2.500000, 0.000000e+00,2.500000, 0.000000e+00,2.500000, 8.185481e+01,2.500000, 0.000000e+00,2.500000, 8.185481e+01,2.500000, 8.720534e+00,2.500000, 6.694170e+00,2.500000, 0.000000e+00,2.500000, 6.694170e+00,2.500000, 8.695481e+00,2.500000, 0.000000e+00,2.500000, 8.695481e+00,2.500000, 8.720534e+00,2.500000, 0.000000e+00,2.500000, 1.000000e+01,2.500000, 0.000000e+00,2.500000, 5.000000e-01,
2.600000, 7.839090e-01,2.600000, 1.072679e+01,2.600000, 0.000000e+00,2.600000, 0.000000e+00,2.600000, 0.000000e+00,2.600000, 1.567819e+01,2.600000, 1.742762e+01,2.600000, 0.000000e+00,2.600000, 0.000000e+00,2.600000, 3.485525e+02,2.600000, 8.219514e-01,2.600000, 0.000000e+00,2.600000, 0.000000e+00,2.600000, 0.000000e+00,2.600000, 0.000000e+00,2.600000, 1.643904e+01,2.600000, 2.000000e+01,2.600000, 0.000000e+00,2.600000, 1.238179e-04,2.600000, 0.000000e+00,2.600000, 0.000000e+00,2.600000, 0.000000e+00,2.600000, 0.000000e+00,2.600000, 1.238465e+01,2.600000, 7.036190e-07,2.600000, 0.000000e+00,2.600000, 0.000000e+00,2.600000, 7.037815e-02,2.600000, 3.226233e-04,2.600000, 0.000000e+00,2.600000, 0.000000e+00,2.600000, 0.000000e+00,2.600000, 0.000000e+00,2.600000, 3.226978e+01,2.600000, 1.000231e+05,2.600000, 0.000000e+00,2.600000, 0.000000e+00,2.600000, 0.000000e+00,2.600000, 0.000000e+00,2.600000, 0.000000e+00,2.600000, 0.000000e+00,2.600000, 0.000000e+00,2.600000, 0.000000e+00,2.600000, 0.000000e+00,2.600000, 0.000000e+00,2.600000, 0.000000e+00,2.600000, 9.314118e+00,2.600000, 0.000000e+00,2.600000, 0.000000e+00,2.600000, 1.638355e+01,2.600000, 1.428733e+02,2.600000, 9.313992e-01,2.600000, 9.998865e-02,2.600000, 8.720530e+00,2.600000, 0.000000e+00,2.600000, 0.000000e+00,2.600000, 0.000000e+00,2.600000, 8.122409e+01,2.600000, 0.000000e+00,2.600000, 8.122409e+01,2.600000, 8.720534e+00,2.600000, 6.836105e+00,2.600000, 0.000000e+00,2.600000, 6.836105e+00,2.600000, 7.167855e+00,2.600000, 0.000000e+00,2.600000, 7.167855e+00,2.600000, 8.720534e+00,2.600000, 0.000000e+00,2.600000, 1.000000e+01,2.600000, 0.000000e+00,2.600000, 5.000000e-01,
2.700000, 8.094693e-01,2.700000, 1.315998e+01,2.700000, 0.000000e+00,2.700000, 0.000000e+00,2.700000, 0.000000e+00,2.700000, 1.618939e+01,2.700000, 1.794991e+01,2.700000, 0.000000e+00,2.700000, 0.000000e+00,2.700000, 3.589982e+02,2.700000, 8.742749e-01,2.700000, 0.000000e+00,2.700000, 0.000000e+00,2.700000, 0.000000e+00,2.700000, 0.000000e+00,2.700000, 1.748551e+01,2.700000, 2.000000e+01,2.700000, 0.000000e+00,2.700000, 1.308031e-04,2.700000, 0.000000e+00,2.700000, 0.000000e+00,2.700000, 0.000000e+00,2.700000, 0.000000e+00,2.700000, 1.308344e+01,2.700000, 7.881988e-07,2.700000, 0.000000e+00,2.700000, 0.000000e+00,2.700000, 7.883877e-02,2.700000, 3.299277e-04,2.700000, 0.000000e+00,2.700000, 0.000000e+00,2.700000, 0.000000e+00,2.700000, 0.000000e+00,2.700000, 3.300068e+01,2.700000, 1.000240e+05,2.700000, 0.000000e+00,2.700000, 0.000000e+00,2.700000, 0.000000e+00,2.700000, 0.000000e+00,2.700000, 0.000000e+00,2.700000, 0.000000e+00,2.700000, 0.000000e+00,2.700000, 0.000000e+00,2.700000, 0.000000e+00,2.700000, 0.000000e+00,2.700000, 0.000000e+00,2.700000, 1.564495e+01,2.700000, 0.000000e+00,2.700000, 0.000000e+00,2.700000, 2.316672e+01,2.700000, 2.020261e+02,2.700000, 1.564467e+00,2.700000, 9.998823e-02,2.700000, 8.720530e+00,2.700000, 0.000000e+00,2.700000, 0.000000e+00,2.700000, 0.000000e+00,2.700000, 1.364323e+02,2.700000, 0.000000e+00,2.700000, 1.364323e+02,2.700000, 8.720534e+00,2.700000, 7.059005e+00,2.700000, 0.000000e+00,2.700000, 7.059005e+00,2.700000, 7.624145e+00,2.700000, 0.000000e+00,2.700000, 7.624145e+00,2.700000, 8.720534e+00,2.700000, 0.000000e+00,2.700000, 1.000000e+01,2.700000, 0.000000e+00,2.700000, 5.000000e-01,
2.800000, 8.413219e-01,2.800000, 1.374413e+01,2.800000, 0.000000e+00,2.800000, 0.000000e+00,2.800000, 0.000000e+00,2.800000, 1.682645e+01,2.800000, 1.857329e+01,2.800000, 0.000000e+00,2.800000, 0.000000e+00,2.800000, 3.714658e+02,2.800000, 1.060037e+00,2.800000, 0.000000e+00,2.800000, 0.000000e+00,2.800000, 0.000000e+00,2.800000, 0.000000e+00,2.800000, 2.120074e+01,2.800000, 2.000000e+01,2.800000, 0.000000e+00,2.800000, 1.380630e-04,2.800000, 0.000000e+00,2.800000, 0.000000e+00,2.800000, 0.000000e+00,2.800000, 0.000000e+00,2.800000, 1.380973e+01,2.800000, 8.797324e-07,2.800000, 0.000000e+00,2.800000, 0.000000e+00,2.800000, 8.799509e-02,2.800000, 3.385261e-04,2.800000, 0.000000e+00,2.800000, 0.000000e+00,2.800000, 0.000000e+00,2.800000, 0.000000e+00,2.800000, 3.386102e+01,2.800000, 1.000248e+05,2.800000, 0.000000e+00,2.800000, 0.000000e+00,2.800000, 0.000000e+00,2.800000, 0.000000e+00,2.800000, 0.000000e+00,2.800000, 0.000000e+00,2.800000, 0.000000e+00,2.800000, 0.000000e+00,2.800000, 0.000000e+00,2.800000, 0.000000e+00,2.800000, 0.000000e+00,2.800000, 2.203388e+01,2.800000, 0.000000e+00,2.800000, 0.000000e+00,2.800000, 2.457352e+01,2.800000, 2.142941e+02,2.800000, 2.203339e+00,2.800000, 9.998780e-02,2.800000, 8.720530e+00,2.800000, 0.000000e+00,2.800000, 0.000000e+00,2.800000, 0.000000e+00,2.800000, 1.921472e+02,2.800000, 0.000000e+00,2.800000, 1.921472e+02,2.800000, 8.720534e+00,2.800000, 7.336776e+00,2.800000, 0.000000e+00,2.800000, 7.336776e+00,2.800000, 9.244085e+00,2.800000, 0.000000e+00,2.800000, 9.244085e+00,2.800000, 8.720534e+00,2.800000, 0.000000e+00,2.800000, 1.000000e+01,2.800000, 0.000000e+00,2.800000, 5.000000e-01,
2.900000, 8.826443e-01,2.900000, 1.681874e+01,2.900000, 0.000000e+00,2.900000, 0.000000e+00,2.900000, 0.000000e+00,2.900000, 1.765289e+01,2.900000, 1.935198e+01,2.900000, 0.000000e+00,2.900000, 0.000000e+00,2.900000, 3.870397e+02,2.900000, 1.274392e+00,2.900000, 0.000000e+00,2.900000, 0.000000e+00,2.900000, 0.000000e+00,2.900000, 0.000000e+00,2.900000, 2.548786e+01,2.900000, 2.000000e+01,2.900000, 0.000000e+00,2.900000, 1.456548e-04,2.900000, 0.000000e+00,2.900000, 0.000000e+00,2.900000, 0.000000e+00,2.900000, 0.000000e+00,2.900000, 1.456922e+01,2.900000, 9.792352e-07,2.900000, 0.000000e+00,2.900000, 0.000000e+00,2.900000, 9.794870e-02,2.900000, 3.491061e-04,2.900000, 0.000000e+00,2.900000, 0.000000e+00,2.900000, 0.000000e+00,2.900000, 0.000000e+00,2.900000, 3.491958e+01,2.900000, 1.000257e+05,2.900000, 0.000000e+00,2.900000, 0.000000e+00,2.900000, 0.000000e+00,2.900000, 0.000000e+00,2.900000, 0.000000e+00,2.900000, 0.000000e+00,2.900000, 0.000000e+00,2.900000, 0.000000e+00,2.900000, 0.000000e+00,2.900000, 0.000000e+00,2.900000, 0.000000e+00,2.900000, 2.439581e+01,2.900000, 0.000000e+00,2.900000, 0.000000e+00,2.900000, 3.484904e+01,2.900000, 3.039021e+02,2.900000, 2.439516e+00,2.900000, 9.998737e-02,2.900000, 8.720530e+00,2.900000, 0.000000e+00,2.900000, 0.000000e+00,2.900000, 0.000000e+00,2.900000, 2.127445e+02,2.900000, 0.000000e+00,2.900000, 2.127445e+02,2.900000, 8.720534e+00,2.900000, 7.697130e+00,2.900000, 0.000000e+00,2.900000, 7.697130e+00,2.900000, 1.111338e+01,2.900000, 0.000000e+00,2.900000, 1.111338e+01,2.900000, 8.720534e+00,2.900000, 0.000000e+00,2.900000, 1.000000e+01,2.900000, 0.000000e+00,2.900000, 5.000000e-01,
